0:Initialize(15):0:0:0:0:0
1:Initialize(9):0:0:0:0:0
2:Initialize(5):0:0:0:0:0
3:Broadcast(15,b35054ddc8e2cecff0dd24074a18a26d):1:0:5681:0:0
4:Initialize(0):1:0:5681:0:0
5:Initialize(10):1:0:5681:0:0
6:Initialize(14):1:0:5681:0:0
7:Deliver(b35054ddc8e2cecff0dd24074a18a26d,13):1:1:5681:5681:0
8:Deliver(b35054ddc8e2cecff0dd24074a18a26d,2):1:2:5681:11362:0
9:Update(14):1:2:5681:11362:0
10:Initialize(12):1:2:5681:11362:0
11:Initialize(4):1:2:5681:11362:0
12:Deliver(b35054ddc8e2cecff0dd24074a18a26d,0):1:3:5681:17043:0
13:Deliver(b35054ddc8e2cecff0dd24074a18a26d,7):1:4:5681:22724:0
14:Deliver(b35054ddc8e2cecff0dd24074a18a26d,4):1:5:5681:28405:0
15:Update(4):1:5:5681:28405:0
16:Process(b35054ddc8e2cecff0dd24074a18a26d,13):1:5:5681:28405:1
17:Initialize(11):1:5:5681:28405:1
18:Update(0):1:5:5681:28405:1
19:Deliver(b35054ddc8e2cecff0dd24074a18a26d,1):1:6:5681:34086:1
20:Initialize(13):1:6:5681:34086:1
21:Initialize(8):1:6:5681:34086:1
22:Deliver(b35054ddc8e2cecff0dd24074a18a26d,11):1:7:5681:39767:1
23:Update(8):1:7:5681:39767:1
24:Broadcast(14,745d5b2bfefdfd8dc9f7b7e2963c326b):2:7:7434:39767:1
25:Deliver(745d5b2bfefdfd8dc9f7b7e2963c326b,15):2:8:7434:41520:1
26:Broadcast(5,5498bdd3364a50f760c8df181f9dc9f5):3:8:13115:41520:1
27:Broadcast(4,0fe48995e1458dc2fbc6a2c1c456d440):4:8:14868:41520:1
28:Deliver(5498bdd3364a50f760c8df181f9dc9f5,13):4:9:14868:47201:1
29:Process(b35054ddc8e2cecff0dd24074a18a26d,2):4:9:14868:47201:2
30:Initialize(3):4:9:14868:47201:2
31:Deliver(5498bdd3364a50f760c8df181f9dc9f5,12):4:10:14868:52882:2
32:Broadcast(14,bdfd3cc402a93d2a491d3d67d7574160):5:10:20549:52882:2
33:Process(5498bdd3364a50f760c8df181f9dc9f5,12):5:10:20549:52882:3
34:Deliver(b35054ddc8e2cecff0dd24074a18a26d,6):5:11:20549:58563:3
35:Deliver(745d5b2bfefdfd8dc9f7b7e2963c326b,10):5:12:20549:60316:3
36:Broadcast(4,565d31349a94ab31be0acf8b90c2eb60):6:12:26230:60316:3
37:Process(745d5b2bfefdfd8dc9f7b7e2963c326b,10):6:12:26230:60316:4
38:Process(b35054ddc8e2cecff0dd24074a18a26d,4):6:12:26230:60316:5
39:Deliver(745d5b2bfefdfd8dc9f7b7e2963c326b,6):6:13:26230:62069:5
40:Process(b35054ddc8e2cecff0dd24074a18a26d,13):6:13:26230:62069:6
41:Update(13):6:13:26230:62069:6
42:Deliver(565d31349a94ab31be0acf8b90c2eb60,10):6:14:26230:67750:6
43:Deliver(bdfd3cc402a93d2a491d3d67d7574160,0):6:15:26230:73431:6
44:Deliver(bdfd3cc402a93d2a491d3d67d7574160,10):6:16:26230:79112:6
45:Update(11):6:16:26230:79112:6
46:Deliver(745d5b2bfefdfd8dc9f7b7e2963c326b,13):6:17:26230:80865:6
47:Broadcast(0,78ec7c92bcc47673be9adf68cf1ce3cf):7:17:31911:80865:6
48:Process(565d31349a94ab31be0acf8b90c2eb60,10):7:17:31911:80865:7
49:Process(b35054ddc8e2cecff0dd24074a18a26d,6):7:17:31911:80865:8
50:Deliver(78ec7c92bcc47673be9adf68cf1ce3cf,11):7:18:31911:86546:8
51:Initialize(6):7:18:31911:86546:8
52:Deliver(b35054ddc8e2cecff0dd24074a18a26d,14):7:19:31911:92227:8
53:Deliver(0fe48995e1458dc2fbc6a2c1c456d440,5):7:20:31911:93980:8
54:Deliver(565d31349a94ab31be0acf8b90c2eb60,15):7:21:31911:99661:8
55:Process(b35054ddc8e2cecff0dd24074a18a26d,1):7:21:31911:99661:9
56:Process(0fe48995e1458dc2fbc6a2c1c456d440,5):7:21:31911:99661:10
57:Deliver(0fe48995e1458dc2fbc6a2c1c456d440,11):7:22:31911:101414:10
58:Deliver(0fe48995e1458dc2fbc6a2c1c456d440,9):7:23:31911:103167:10
59:Deliver(565d31349a94ab31be0acf8b90c2eb60,12):7:24:31911:108848:10
60:Deliver(bdfd3cc402a93d2a491d3d67d7574160,3):7:25:31911:114529:10
61:Deliver(bdfd3cc402a93d2a491d3d67d7574160,5):7:26:31911:120210:10
62:Deliver(78ec7c92bcc47673be9adf68cf1ce3cf,2):7:27:31911:125891:10
63:Deliver(bdfd3cc402a93d2a491d3d67d7574160,15):7:28:31911:131572:10
64:Deliver(78ec7c92bcc47673be9adf68cf1ce3cf,12):7:29:31911:137253:10
65:Process(5498bdd3364a50f760c8df181f9dc9f5,13):7:29:31911:137253:11
66:Deliver(5498bdd3364a50f760c8df181f9dc9f5,0):7:30:31911:142934:11
67:Deliver(745d5b2bfefdfd8dc9f7b7e2963c326b,11):7:31:31911:144687:11
68:Process(b35054ddc8e2cecff0dd24074a18a26d,0):7:31:31911:144687:12
69:Deliver(78ec7c92bcc47673be9adf68cf1ce3cf,4):7:32:31911:150368:12
70:Broadcast(13,17e7c6526264986060106dd6bfca0133):8:32:33664:150368:12
71:Deliver(17e7c6526264986060106dd6bfca0133,0):8:33:33664:152121:12
72:Deliver(78ec7c92bcc47673be9adf68cf1ce3cf,6):8:34:33664:157802:12
73:Deliver(565d31349a94ab31be0acf8b90c2eb60,3):8:35:33664:163483:12
74:Deliver(745d5b2bfefdfd8dc9f7b7e2963c326b,4):8:36:33664:165236:12
75:Deliver(0fe48995e1458dc2fbc6a2c1c456d440,14):8:37:33664:166989:12
76:Deliver(0fe48995e1458dc2fbc6a2c1c456d440,3):8:38:33664:168742:12
77:Deliver(17e7c6526264986060106dd6bfca0133,1):8:39:33664:170495:12
78:Process(78ec7c92bcc47673be9adf68cf1ce3cf,4):8:39:33664:170495:13
79:Deliver(17e7c6526264986060106dd6bfca0133,14):8:40:33664:172248:13
80:Process(565d31349a94ab31be0acf8b90c2eb60,15):8:40:33664:172248:14
81:Initialize(2):8:40:33664:172248:14
82:Deliver(17e7c6526264986060106dd6bfca0133,4):8:41:33664:174001:14
83:Update(15):8:41:33664:174001:14
84:Update(10):8:41:33664:174001:14
85:Update(3):8:41:33664:174001:14
86:Deliver(565d31349a94ab31be0acf8b90c2eb60,11):8:42:33664:179682:14
87:Process(bdfd3cc402a93d2a491d3d67d7574160,3):8:42:33664:179682:15
88:Broadcast(9,7c985d74424e0b84671b88224a6d9b54):9:42:39345:179682:15
89:Deliver(0fe48995e1458dc2fbc6a2c1c456d440,1):9:43:39345:181435:15
90:Process(565d31349a94ab31be0acf8b90c2eb60,12):9:43:39345:181435:16
91:Deliver(78ec7c92bcc47673be9adf68cf1ce3cf,1):9:44:39345:187116:16
92:Deliver(565d31349a94ab31be0acf8b90c2eb60,14):9:45:39345:192797:16
93:Deliver(745d5b2bfefdfd8dc9f7b7e2963c326b,8):9:46:39345:194550:16
94:Deliver(78ec7c92bcc47673be9adf68cf1ce3cf,14):9:47:39345:200231:16
95:Process(b35054ddc8e2cecff0dd24074a18a26d,14):9:47:39345:200231:17
96:Deliver(7c985d74424e0b84671b88224a6d9b54,8):9:48:39345:205912:17
97:Process(b35054ddc8e2cecff0dd24074a18a26d,1):9:48:39345:205912:18
98:Deliver(78ec7c92bcc47673be9adf68cf1ce3cf,9):9:49:39345:211593:18
99:Deliver(0fe48995e1458dc2fbc6a2c1c456d440,7):9:50:39345:213346:18
100:Deliver(0fe48995e1458dc2fbc6a2c1c456d440,12):9:51:39345:215099:18
101:Process(bdfd3cc402a93d2a491d3d67d7574160,5):9:51:39345:215099:19
102:Deliver(bdfd3cc402a93d2a491d3d67d7574160,2):9:52:39345:220780:19
103:Process(78ec7c92bcc47673be9adf68cf1ce3cf,1):9:52:39345:220780:20
104:Deliver(5498bdd3364a50f760c8df181f9dc9f5,3):9:53:39345:226461:20
105:Deliver(17e7c6526264986060106dd6bfca0133,10):9:54:39345:228214:20
106:Process(b35054ddc8e2cecff0dd24074a18a26d,6):9:54:39345:228214:21
107:Deliver(b35054ddc8e2cecff0dd24074a18a26d,3):9:55:39345:233895:21
108:Update(5):9:55:39345:233895:21
109:Process(bdfd3cc402a93d2a491d3d67d7574160,10):9:55:39345:233895:22
110:Deliver(bdfd3cc402a93d2a491d3d67d7574160,11):9:56:39345:239576:22
111:Deliver(565d31349a94ab31be0acf8b90c2eb60,6):9:57:39345:245257:22
112:Broadcast(5,dae47131172b545db818837b01565dfb):10:57:41098:245257:22
113:Deliver(17e7c6526264986060106dd6bfca0133,6):10:58:41098:247010:22
114:Process(78ec7c92bcc47673be9adf68cf1ce3cf,6):10:58:41098:247010:23
115:Broadcast(13,62ad4c58b2d017ec604ce50862e0c59e):11:58:46779:247010:23
116:Deliver(17e7c6526264986060106dd6bfca0133,8):11:59:46779:248763:23
117:Process(0fe48995e1458dc2fbc6a2c1c456d440,5):11:59:46779:248763:24
118:Process(bdfd3cc402a93d2a491d3d67d7574160,15):11:59:46779:248763:25
119:Deliver(17e7c6526264986060106dd6bfca0133,5):11:60:46779:250516:25
120:Deliver(5498bdd3364a50f760c8df181f9dc9f5,6):11:61:46779:256197:25
121:Process(565d31349a94ab31be0acf8b90c2eb60,6):11:61:46779:256197:26
122:Deliver(17e7c6526264986060106dd6bfca0133,3):11:62:46779:257950:26
123:Deliver(0fe48995e1458dc2fbc6a2c1c456d440,0):11:63:46779:259703:26
124:Deliver(62ad4c58b2d017ec604ce50862e0c59e,12):11:64:46779:265384:26
125:Deliver(bdfd3cc402a93d2a491d3d67d7574160,4):11:65:46779:271065:26
126:Process(565d31349a94ab31be0acf8b90c2eb60,3):11:65:46779:271065:27
127:Process(bdfd3cc402a93d2a491d3d67d7574160,0):11:65:46779:271065:28
128:Deliver(7c985d74424e0b84671b88224a6d9b54,11):11:66:46779:276746:28
129:Process(78ec7c92bcc47673be9adf68cf1ce3cf,9):11:66:46779:276746:29
130:Deliver(bdfd3cc402a93d2a491d3d67d7574160,8):11:67:46779:282427:29
131:Process(0fe48995e1458dc2fbc6a2c1c456d440,9):11:67:46779:282427:30
132:Update(2):11:67:46779:282427:30
133:Deliver(62ad4c58b2d017ec604ce50862e0c59e,6):11:68:46779:288108:30
134:Deliver(62ad4c58b2d017ec604ce50862e0c59e,15):11:69:46779:293789:30
135:Deliver(dae47131172b545db818837b01565dfb,12):11:70:46779:295542:30
136:Process(5498bdd3364a50f760c8df181f9dc9f5,0):11:70:46779:295542:31
137:Process(745d5b2bfefdfd8dc9f7b7e2963c326b,10):11:70:46779:295542:32
138:Deliver(7c985d74424e0b84671b88224a6d9b54,1):11:71:46779:301223:32
139:Deliver(745d5b2bfefdfd8dc9f7b7e2963c326b,2):11:72:46779:302976:32
140:Deliver(dae47131172b545db818837b01565dfb,13):11:73:46779:304729:32
141:Deliver(78ec7c92bcc47673be9adf68cf1ce3cf,13):11:74:46779:310410:32
142:Deliver(dae47131172b545db818837b01565dfb,2):11:75:46779:312163:32
143:Broadcast(11,c5f7dcd4e6acbf159a213723e0eb2731):12:75:48532:312163:32
144:Process(565d31349a94ab31be0acf8b90c2eb60,14):12:75:48532:312163:33
145:Deliver(565d31349a94ab31be0acf8b90c2eb60,8):12:76:48532:317844:33
146:Deliver(5498bdd3364a50f760c8df181f9dc9f5,7):12:77:48532:323525:33
147:Process(7c985d74424e0b84671b88224a6d9b54,8):12:77:48532:323525:34
148:Deliver(dae47131172b545db818837b01565dfb,0):12:78:48532:325278:34
149:Deliver(78ec7c92bcc47673be9adf68cf1ce3cf,15):12:79:48532:330959:34
150:Deliver(bdfd3cc402a93d2a491d3d67d7574160,1):12:80:48532:336640:34
151:Broadcast(3,179b3efb2fd09b009429e8deda0af5c3):13:80:54213:336640:34
152:Deliver(c5f7dcd4e6acbf159a213723e0eb2731,10):13:81:54213:338393:34
153:Deliver(17e7c6526264986060106dd6bfca0133,12):13:82:54213:340146:34
154:Deliver(745d5b2bfefdfd8dc9f7b7e2963c326b,5):13:83:54213:341899:34
155:Deliver(dae47131172b545db818837b01565dfb,4):13:84:54213:343652:34
156:Deliver(745d5b2bfefdfd8dc9f7b7e2963c326b,0):13:85:54213:345405:34
157:Process(bdfd3cc402a93d2a491d3d67d7574160,8):13:85:54213:345405:35
158:Deliver(dae47131172b545db818837b01565dfb,6):13:86:54213:347158:35
159:Deliver(179b3efb2fd09b009429e8deda0af5c3,1):13:87:54213:352839:35
160:Process(78ec7c92bcc47673be9adf68cf1ce3cf,14):13:87:54213:352839:36
161:Deliver(dae47131172b545db818837b01565dfb,9):13:88:54213:354592:36
162:Deliver(b35054ddc8e2cecff0dd24074a18a26d,5):13:89:54213:360273:36
163:Broadcast(6,a1f12bcab74680c38263bb88c40b9921):14:89:59894:360273:36
164:Process(b35054ddc8e2cecff0dd24074a18a26d,11):14:89:59894:360273:37
165:Deliver(17e7c6526264986060106dd6bfca0133,2):14:90:59894:362026:37
166:Process(78ec7c92bcc47673be9adf68cf1ce3cf,11):14:90:59894:362026:38
167:Process(78ec7c92bcc47673be9adf68cf1ce3cf,13):14:90:59894:362026:39
168:Deliver(5498bdd3364a50f760c8df181f9dc9f5,11):14:91:59894:367707:39
169:Deliver(0fe48995e1458dc2fbc6a2c1c456d440,15):14:92:59894:369460:39
170:Process(5498bdd3364a50f760c8df181f9dc9f5,3):14:92:59894:369460:40
171:Deliver(565d31349a94ab31be0acf8b90c2eb60,7):14:93:59894:375141:40
172:Process(b35054ddc8e2cecff0dd24074a18a26d,1):14:93:59894:375141:41
173:Process(b35054ddc8e2cecff0dd24074a18a26d,2):14:93:59894:375141:42
174:Deliver(7c985d74424e0b84671b88224a6d9b54,3):14:94:59894:380822:42
175:Deliver(c5f7dcd4e6acbf159a213723e0eb2731,1):14:95:59894:382575:42
176:Deliver(c5f7dcd4e6acbf159a213723e0eb2731,15):14:96:59894:384328:42
177:Deliver(7c985d74424e0b84671b88224a6d9b54,13):14:97:59894:390009:42
178:Deliver(565d31349a94ab31be0acf8b90c2eb60,13):14:98:59894:395690:42
179:Deliver(17e7c6526264986060106dd6bfca0133,9):14:99:59894:397443:42
180:Process(78ec7c92bcc47673be9adf68cf1ce3cf,2):14:99:59894:397443:43
181:Deliver(179b3efb2fd09b009429e8deda0af5c3,9):14:100:59894:403124:43
182:Deliver(565d31349a94ab31be0acf8b90c2eb60,2):14:101:59894:408805:43
183:Deliver(62ad4c58b2d017ec604ce50862e0c59e,5):14:102:59894:414486:43
184:Deliver(a1f12bcab74680c38263bb88c40b9921,14):14:103:59894:420167:43
185:Update(9):14:103:59894:420167:43
186:Deliver(a1f12bcab74680c38263bb88c40b9921,15):14:104:59894:425848:43
187:Deliver(179b3efb2fd09b009429e8deda0af5c3,0):14:105:59894:431529:43
188:Deliver(0fe48995e1458dc2fbc6a2c1c456d440,13):14:106:59894:433282:43
189:Deliver(c5f7dcd4e6acbf159a213723e0eb2731,2):14:107:59894:435035:43
190:Process(78ec7c92bcc47673be9adf68cf1ce3cf,12):14:107:59894:435035:44
191:Deliver(c5f7dcd4e6acbf159a213723e0eb2731,13):14:108:59894:436788:44
192:Deliver(bdfd3cc402a93d2a491d3d67d7574160,7):14:109:59894:442469:44
193:Deliver(5498bdd3364a50f760c8df181f9dc9f5,15):14:110:59894:448150:44
194:Process(bdfd3cc402a93d2a491d3d67d7574160,2):14:110:59894:448150:45
195:Process(179b3efb2fd09b009429e8deda0af5c3,9):14:110:59894:448150:46
196:Deliver(a1f12bcab74680c38263bb88c40b9921,7):14:111:59894:453831:46
197:Deliver(dae47131172b545db818837b01565dfb,11):14:112:59894:455584:46
198:Deliver(62ad4c58b2d017ec604ce50862e0c59e,1):14:113:59894:461265:46
199:Deliver(0fe48995e1458dc2fbc6a2c1c456d440,6):14:114:59894:463018:46
200:Deliver(0fe48995e1458dc2fbc6a2c1c456d440,8):14:115:59894:464771:46
201:Deliver(c5f7dcd4e6acbf159a213723e0eb2731,9):14:116:59894:466524:46
202:Deliver(dae47131172b545db818837b01565dfb,14):14:117:59894:468277:46
203:Deliver(78ec7c92bcc47673be9adf68cf1ce3cf,10):14:118:59894:473958:46
204:Deliver(a1f12bcab74680c38263bb88c40b9921,2):14:119:59894:479639:46
205:Process(7c985d74424e0b84671b88224a6d9b54,13):14:119:59894:479639:47
206:Deliver(7c985d74424e0b84671b88224a6d9b54,5):14:120:59894:485320:47
207:Deliver(565d31349a94ab31be0acf8b90c2eb60,1):14:121:59894:491001:47
208:Process(62ad4c58b2d017ec604ce50862e0c59e,15):14:121:59894:491001:48
209:Process(78ec7c92bcc47673be9adf68cf1ce3cf,1):14:121:59894:491001:49
210:Broadcast(15,32392fa6ca8434fb25a17e62172503fc):15:121:61647:491001:49
211:Process(565d31349a94ab31be0acf8b90c2eb60,11):15:121:61647:491001:50
212:Deliver(b35054ddc8e2cecff0dd24074a18a26d,8):15:122:61647:496682:50
213:Deliver(c5f7dcd4e6acbf159a213723e0eb2731,0):15:123:61647:498435:50
214:Deliver(179b3efb2fd09b009429e8deda0af5c3,7):15:124:61647:504116:50
215:Process(a1f12bcab74680c38263bb88c40b9921,14):15:124:61647:504116:51
216:Broadcast(0,5ee4f712a6756403a87316c5ad98023b):16:124:63400:504116:51
217:Process(0fe48995e1458dc2fbc6a2c1c456d440,14):16:124:63400:504116:52
218:Deliver(179b3efb2fd09b009429e8deda0af5c3,10):16:125:63400:509797:52
219:Deliver(62ad4c58b2d017ec604ce50862e0c59e,11):16:126:63400:515478:52
220:Deliver(565d31349a94ab31be0acf8b90c2eb60,0):16:127:63400:521159:52
