0:Initialize(4):0:0:0:0:0
1:Initialize(1):0:0:0:0:0
2:Initialize(7):0:0:0:0:0
3:Update(4):0:0:0:0:0
4:Update(7):0:0:0:0:0
5:Broadcast(4,004d787b7d9094146dd0735f79bdbd8c):1:0:2949:0:0
6:Deliver(004d787b7d9094146dd0735f79bdbd8c,0):1:1:2949:2949:0
7:Deliver(004d787b7d9094146dd0735f79bdbd8c,2):1:2:2949:5898:0
8:Initialize(6):1:2:2949:5898:0
9:Initialize(0):1:2:2949:5898:0
10:Broadcast(0,ce016417ce73a665005f8c49ceb1534a):2:2:5898:5898:0
11:Process(004d787b7d9094146dd0735f79bdbd8c,0):2:2:5898:5898:1
12:Initialize(5):2:2:5898:5898:1
13:Deliver(ce016417ce73a665005f8c49ceb1534a,4):2:3:5898:8847:1
14:Broadcast(6,d29261c07564149877efac89cd00740e):3:3:8847:8847:1
15:Deliver(ce016417ce73a665005f8c49ceb1534a,3):3:4:8847:11796:1
16:Process(004d787b7d9094146dd0735f79bdbd8c,2):3:4:8847:11796:2
17:Deliver(d29261c07564149877efac89cd00740e,7):3:5:8847:14745:2
18:Deliver(d29261c07564149877efac89cd00740e,2):3:6:8847:17694:2
19:Broadcast(1,e88f7d9bc6cef962bdcc3f5cd4965a5c):4:6:11796:17694:2
20:Deliver(ce016417ce73a665005f8c49ceb1534a,2):4:7:11796:20643:2
21:Update(5):4:7:11796:20643:2
22:Update(6):4:7:11796:20643:2
23:Deliver(ce016417ce73a665005f8c49ceb1534a,1):4:8:11796:23592:2
24:Update(1):4:8:11796:23592:2
25:Deliver(d29261c07564149877efac89cd00740e,5):4:9:11796:26541:2
26:Deliver(ce016417ce73a665005f8c49ceb1534a,5):4:10:11796:29490:2
27:Initialize(2):4:10:11796:29490:2
28:Deliver(004d787b7d9094146dd0735f79bdbd8c,5):4:11:11796:32439:2
29:Deliver(ce016417ce73a665005f8c49ceb1534a,7):4:12:11796:35388:2
30:Deliver(e88f7d9bc6cef962bdcc3f5cd4965a5c,3):4:13:11796:38337:2
31:Broadcast(2,448fb845cec15ca38c706919db1b5233):5:13:14745:38337:2
32:Deliver(e88f7d9bc6cef962bdcc3f5cd4965a5c,7):5:14:14745:41286:2
33:Broadcast(5,d8af363df734a3ce4c37596d6885a073):6:14:15807:41286:2
34:Deliver(d29261c07564149877efac89cd00740e,1):6:15:15807:44235:2
35:Deliver(448fb845cec15ca38c706919db1b5233,3):6:16:15807:47184:2
36:Broadcast(4,45a6374ad1101e6d3d84b037fef2f9f0):7:16:16869:47184:2
37:Deliver(d29261c07564149877efac89cd00740e,0):7:17:16869:50133:2
38:Process(d29261c07564149877efac89cd00740e,7):7:17:16869:50133:3
39:Deliver(004d787b7d9094146dd0735f79bdbd8c,3):7:18:16869:53082:3
40:Broadcast(7,ff850609b0f39abde87daf511eebec0f):8:18:19818:53082:3
41:Deliver(448fb845cec15ca38c706919db1b5233,7):8:19:19818:56031:3
42:Process(ce016417ce73a665005f8c49ceb1534a,3):8:19:19818:56031:4
43:Process(d29261c07564149877efac89cd00740e,5):8:19:19818:56031:5
44:Deliver(d8af363df734a3ce4c37596d6885a073,1):8:20:19818:57093:5
45:Process(ce016417ce73a665005f8c49ceb1534a,7):8:20:19818:57093:6
46:Deliver(ff850609b0f39abde87daf511eebec0f,4):8:21:19818:60042:6
47:Deliver(448fb845cec15ca38c706919db1b5233,5):8:22:19818:62991:6
48:Deliver(ff850609b0f39abde87daf511eebec0f,2):8:23:19818:65940:6
49:Process(e88f7d9bc6cef962bdcc3f5cd4965a5c,3):8:23:19818:65940:7
50:Process(ce016417ce73a665005f8c49ceb1534a,1):8:23:19818:65940:8
51:Deliver(448fb845cec15ca38c706919db1b5233,0):8:24:19818:68889:8
52:Deliver(45a6374ad1101e6d3d84b037fef2f9f0,0):8:25:19818:69951:8
53:Deliver(ff850609b0f39abde87daf511eebec0f,6):8:26:19818:72900:8
54:Deliver(d29261c07564149877efac89cd00740e,3):8:27:19818:75849:8
55:Deliver(ff850609b0f39abde87daf511eebec0f,0):8:28:19818:78798:8
56:Process(004d787b7d9094146dd0735f79bdbd8c,2):8:28:19818:78798:9
57:Deliver(d8af363df734a3ce4c37596d6885a073,4):8:29:19818:79860:9
58:Deliver(e88f7d9bc6cef962bdcc3f5cd4965a5c,6):8:30:19818:82809:9
59:Broadcast(7,304b6cec7a8b1d63e557d0697a1d7850):9:30:20880:82809:9
60:Deliver(004d787b7d9094146dd0735f79bdbd8c,7):9:31:20880:85758:9
61:Deliver(ff850609b0f39abde87daf511eebec0f,3):9:32:20880:88707:9
62:Deliver(004d787b7d9094146dd0735f79bdbd8c,1):9:33:20880:91656:9
63:Deliver(45a6374ad1101e6d3d84b037fef2f9f0,5):9:34:20880:92718:9
64:Deliver(ff850609b0f39abde87daf511eebec0f,5):9:35:20880:95667:9
65:Deliver(45a6374ad1101e6d3d84b037fef2f9f0,7):9:36:20880:96729:9
66:Process(448fb845cec15ca38c706919db1b5233,3):9:36:20880:96729:10
67:Process(ce016417ce73a665005f8c49ceb1534a,5):9:36:20880:96729:11
68:Process(004d787b7d9094146dd0735f79bdbd8c,5):9:36:20880:96729:12
69:Deliver(45a6374ad1101e6d3d84b037fef2f9f0,1):9:37:20880:97791:12
70:Process(d29261c07564149877efac89cd00740e,0):9:37:20880:97791:13
71:Deliver(d29261c07564149877efac89cd00740e,4):9:38:20880:100740:13
72:Deliver(45a6374ad1101e6d3d84b037fef2f9f0,3):9:39:20880:101802:13
73:Deliver(e88f7d9bc6cef962bdcc3f5cd4965a5c,0):9:40:20880:104751:13
74:Deliver(448fb845cec15ca38c706919db1b5233,6):9:41:20880:107700:13
75:Deliver(d8af363df734a3ce4c37596d6885a073,6):9:42:20880:108762:13
76:Process(e88f7d9bc6cef962bdcc3f5cd4965a5c,7):9:42:20880:108762:14
77:Deliver(304b6cec7a8b1d63e557d0697a1d7850,4):9:43:20880:109824:14
78:Initialize(3):9:43:20880:109824:14
79:Process(448fb845cec15ca38c706919db1b5233,7):9:43:20880:109824:15
80:Process(ce016417ce73a665005f8c49ceb1534a,4):9:43:20880:109824:16
81:Process(004d787b7d9094146dd0735f79bdbd8c,7):9:43:20880:109824:17
82:Process(d29261c07564149877efac89cd00740e,1):9:43:20880:109824:18
83:Process(004d787b7d9094146dd0735f79bdbd8c,3):9:43:20880:109824:19
84:Process(448fb845cec15ca38c706919db1b5233,0):9:43:20880:109824:20
85:Process(ff850609b0f39abde87daf511eebec0f,4):9:43:20880:109824:21
86:Deliver(304b6cec7a8b1d63e557d0697a1d7850,2):9:44:20880:110886:21
87:Broadcast(1,f3398f5b51ea1e5d4f734747a2c78056):10:44:21942:110886:21
88:Deliver(304b6cec7a8b1d63e557d0697a1d7850,3):10:45:21942:111948:21
89:Deliver(f3398f5b51ea1e5d4f734747a2c78056,3):10:46:21942:113010:21
90:Process(d29261c07564149877efac89cd00740e,2):10:46:21942:113010:22
91:Deliver(f3398f5b51ea1e5d4f734747a2c78056,6):10:47:21942:114072:22
92:Process(ce016417ce73a665005f8c49ceb1534a,2):10:47:21942:114072:23
93:Process(ff850609b0f39abde87daf511eebec0f,0):10:47:21942:114072:24
94:Deliver(448fb845cec15ca38c706919db1b5233,1):10:48:21942:117021:24
95:Update(2):10:48:21942:117021:24
96:Process(004d787b7d9094146dd0735f79bdbd8c,1):10:48:21942:117021:25
97:Deliver(45a6374ad1101e6d3d84b037fef2f9f0,2):10:49:21942:118083:25
98:Process(d29261c07564149877efac89cd00740e,4):10:49:21942:118083:26
99:Deliver(f3398f5b51ea1e5d4f734747a2c78056,2):10:50:21942:119145:26
100:Process(ce016417ce73a665005f8c49ceb1534a,3):10:50:21942:119145:27
101:Deliver(f3398f5b51ea1e5d4f734747a2c78056,0):10:51:21942:120207:27
102:Process(ff850609b0f39abde87daf511eebec0f,6):10:51:21942:120207:28
103:Process(448fb845cec15ca38c706919db1b5233,1):10:51:21942:120207:29
104:Deliver(f3398f5b51ea1e5d4f734747a2c78056,7):10:52:21942:121269:29
105:Process(e88f7d9bc6cef962bdcc3f5cd4965a5c,0):10:52:21942:121269:30
106:Deliver(d8af363df734a3ce4c37596d6885a073,7):10:53:21942:122331:30
107:Process(45a6374ad1101e6d3d84b037fef2f9f0,0):10:53:21942:122331:31
108:Deliver(448fb845cec15ca38c706919db1b5233,4):10:54:21942:125280:31
109:Process(ff850609b0f39abde87daf511eebec0f,2):10:54:21942:125280:32
110:Process(448fb845cec15ca38c706919db1b5233,4):10:54:21942:125280:33
111:Process(304b6cec7a8b1d63e557d0697a1d7850,2):10:54:21942:125280:34
112:Process(45a6374ad1101e6d3d84b037fef2f9f0,7):10:54:21942:125280:35
113:Process(f3398f5b51ea1e5d4f734747a2c78056,0):10:54:21942:125280:36
114:Deliver(e88f7d9bc6cef962bdcc3f5cd4965a5c,2):10:55:21942:128229:36
115:Process(f3398f5b51ea1e5d4f734747a2c78056,7):10:55:21942:128229:37
116:Broadcast(0,fe20402ef6350b38e287ba7311e94293):11:55:23083:128229:37
117:Deliver(fe20402ef6350b38e287ba7311e94293,4):11:56:23083:129370:37
118:Deliver(304b6cec7a8b1d63e557d0697a1d7850,0):11:57:23083:130432:37
119:Broadcast(7,f3f96b8cbc91bcd928c6211a390f7517):12:57:24224:130432:37
120:Deliver(f3f96b8cbc91bcd928c6211a390f7517,2):12:58:24224:131573:37
121:Deliver(004d787b7d9094146dd0735f79bdbd8c,6):12:59:24224:134522:37
122:Process(e88f7d9bc6cef962bdcc3f5cd4965a5c,2):12:59:24224:134522:38
123:Process(448fb845cec15ca38c706919db1b5233,5):12:59:24224:134522:39
124:Process(e88f7d9bc6cef962bdcc3f5cd4965a5c,6):12:59:24224:134522:40
125:Deliver(d8af363df734a3ce4c37596d6885a073,3):12:60:24224:135584:40
126:Deliver(f3f96b8cbc91bcd928c6211a390f7517,1):12:61:24224:136725:40
127:Deliver(d8af363df734a3ce4c37596d6885a073,0):12:62:24224:137787:40
128:Process(d8af363df734a3ce4c37596d6885a073,7):12:62:24224:137787:41
129:Deliver(ff850609b0f39abde87daf511eebec0f,1):12:63:24224:140736:41
130:Process(ff850609b0f39abde87daf511eebec0f,5):12:63:24224:140736:42
131:Broadcast(5,a4b217e0658f32620a1073f6973c093f):13:63:27173:140736:42
132:Deliver(f3398f5b51ea1e5d4f734747a2c78056,5):13:64:27173:141798:42
133:Deliver(304b6cec7a8b1d63e557d0697a1d7850,6):13:65:27173:142860:42
134:Process(45a6374ad1101e6d3d84b037fef2f9f0,5):13:65:27173:142860:43
135:Process(448fb845cec15ca38c706919db1b5233,6):13:65:27173:142860:44
136:Process(004d787b7d9094146dd0735f79bdbd8c,6):13:65:27173:142860:45
137:Broadcast(3,488146e9f1736f069f6445abb1fefb89):14:65:30122:142860:45
