2:1:Updated:6:6:3788:3788:23:7
2:2:Updated:6:6:3788:3788:22:6
2:3:Updated:6:6:3788:3788:28:12
2:4:Updated:6:6:3788:3788:25:9
2:5:Updated:6:6:3788:3788:26:10
2:6:Updated:6:6:3788:3788:24:8
2:7:Updated:6:6:3788:3788:24:8
2:8:Updated:6:6:3788:3788:24:8
2:9:Updated:6:6:3788:3788:23:7
2:10:Updated:6:6:3788:3788:24:8
4:1:Updated:20:60:18328:54984:208:120
4:2:Updated:20:60:18328:54984:244:156
4:3:Updated:20:60:18328:54984:180:92
4:4:Updated:20:60:18328:54984:184:96
4:5:Updated:20:60:18328:54984:186:98
4:6:Updated:20:60:18328:54984:225:137
4:7:Updated:20:60:18328:54984:188:100
4:8:Updated:20:60:18328:54984:253:165
4:9:Updated:20:60:18328:54984:221:133
4:10:Updated:20:60:18328:54984:211:123
8:1:Updated:72:504:95984:671888:2257:1665
8:2:Updated:72:504:95984:671888:2168:1576
8:3:Updated:72:504:95984:671888:1983:1391
8:4:Updated:72:504:95984:671888:2131:1539
8:5:Updated:72:504:95984:671888:2382:1790
8:6:Updated:72:504:95984:671888:2384:1792
8:7:Updated:72:504:95984:671888:2374:1782
8:8:Updated:72:504:95984:671888:2269:1677
8:9:Updated:72:504:95984:671888:2101:1509
8:10:Updated:72:504:95984:671888:2604:2012
16:1:Updated:272:4080:558624:8379360:31868:27484
16:2:Updated:272:4080:558624:8379360:29555:25171
16:3:Updated:272:4080:558624:8379360:30955:26571
16:4:Updated:272:4080:558624:8379360:32224:27840
16:5:Updated:272:4080:558624:8379360:32457:28073
16:6:Updated:272:4080:558624:8379360:30075:25691
16:7:Updated:272:4080:558624:8379360:28142:23758
16:8:Updated:272:4080:558624:8379360:29953:25569
16:9:Updated:272:4080:558624:8379360:31913:27529
16:10:Updated:272:4080:558624:8379360:31465:27081
32:1:Updated:1056:32736:3607232:111824192:470144:436288
32:2:Updated:1056:32736:3607232:111824192:500766:466910
32:3:Updated:1056:32736:3607232:111824192:487091:453235
32:4:Updated:1056:32736:3607232:111824192:437021:403165
32:5:Updated:1056:32736:3607232:111824192:496046:462190
32:6:Updated:1056:32736:3607232:111824192:481845:447989
32:7:Updated:1056:32736:3607232:111824192:460266:426410
32:8:Updated:1056:32736:3607232:111824192:464113:430257
32:9:Updated:1056:32736:3607232:111824192:462198:428342
32:10:Updated:1056:32736:3607232:111824192:460721:426865
64:0:Updated:4160:262080:25302656:1594067328:7675653:7409285
64:1:Updated:4160:262080:25302656:1594067328:7252756:6986388
64:2:Updated:4160:262080:25302656:1594067328:7678039:7411671
64:3:Updated:4160:262080:25302656:1594067328:7647983:7381615
64:4:Updated:4160:262080:25302656:1594067328:7706484:7440116
64:5:Updated:4160:262080:25302656:1594067328:7680330:7413962
