0:Initialize(0):0:0:0:0:0
1:Broadcast(0,bc57b61a3aada0568046bbf960b884cf):1:0:815:0:0
2:Deliver(bc57b61a3aada0568046bbf960b884cf,1):1:1:815:815:0
3:Update(0):1:1:815:815:0
4:Process(bc57b61a3aada0568046bbf960b884cf,1):1:1:815:815:1
5:Initialize(1):1:1:815:815:1
6:Broadcast(1,c9a68a2fd75610f178d63b6a06c03054):2:1:1630:815:1
7:Update(1):2:1:1630:815:1
8:Process(bc57b61a3aada0568046bbf960b884cf,1):2:1:1630:815:2
9:Deliver(c9a68a2fd75610f178d63b6a06c03054,0):2:2:1630:1630:2
10:Process(c9a68a2fd75610f178d63b6a06c03054,0):2:2:1630:1630:3
11:Broadcast(0,39a70ba0e9b906c45260f08f3cf16613):3:2:2130:1630:3
12:Deliver(39a70ba0e9b906c45260f08f3cf16613,1):3:3:2130:2130:3
13:Process(39a70ba0e9b906c45260f08f3cf16613,1):3:3:2130:2130:4
14:Broadcast(1,72075c7fb301ba144c7e18f3414e30b7):4:3:2630:2130:4
15:Deliver(72075c7fb301ba144c7e18f3414e30b7,0):4:4:2630:2630:4
16:Process(72075c7fb301ba144c7e18f3414e30b7,0):4:4:2630:2630:5
17:Broadcast(1,827796a621bccbec4ca968e3d518b973):5:4:3209:2630:5
18:Deliver(827796a621bccbec4ca968e3d518b973,0):5:5:3209:3209:5
19:Process(827796a621bccbec4ca968e3d518b973,0):5:5:3209:3209:6
20:Broadcast(0,301e1d162488f3096d4e3d3d21acc449):6:5:3788:3209:6
21:Deliver(301e1d162488f3096d4e3d3d21acc449,1):6:6:3788:3788:6
22:Process(301e1d162488f3096d4e3d3d21acc449,1):6:6:3788:3788:7
