0:Initialize(0):0:0:0:0:0
1:Broadcast(0,0722336aa94640c327fe432fb3c6ac29):1:0:815:0:0
2:Initialize(1):1:0:815:0:0
3:Update(1):1:0:815:0:0
4:Update(0):1:0:815:0:0
5:Deliver(0722336aa94640c327fe432fb3c6ac29,1):1:1:815:815:0
6:Broadcast(1,27be9e32048a05685bc0911cc2273633):2:1:1630:815:0
7:Broadcast(0,4d83e02f35770f3c35f38e25d54a5b52):3:1:2130:815:0
8:Process(0722336aa94640c327fe432fb3c6ac29,1):3:1:2130:815:1
9:Broadcast(1,38cdfa7d4ce98892d123cca375cee6b2):4:1:2630:815:1
10:Deliver(27be9e32048a05685bc0911cc2273633,0):4:2:2630:1630:1
11:Process(27be9e32048a05685bc0911cc2273633,0):4:2:2630:1630:2
12:Deliver(4d83e02f35770f3c35f38e25d54a5b52,1):4:3:2630:2130:2
13:Process(4d83e02f35770f3c35f38e25d54a5b52,1):4:3:2630:2130:3
14:Deliver(38cdfa7d4ce98892d123cca375cee6b2,0):4:4:2630:2630:3
15:Process(38cdfa7d4ce98892d123cca375cee6b2,0):4:4:2630:2630:4
16:Broadcast(1,5b126473060acac2c1a236240320abc0):5:4:3209:2630:4
17:Deliver(5b126473060acac2c1a236240320abc0,0):5:5:3209:3209:4
18:Process(5b126473060acac2c1a236240320abc0,0):5:5:3209:3209:5
19:Broadcast(0,adb27b6d96b143fad47dda824fe6d45c):6:5:3788:3209:5
20:Deliver(adb27b6d96b143fad47dda824fe6d45c,1):6:6:3788:3788:5
21:Process(adb27b6d96b143fad47dda824fe6d45c,1):6:6:3788:3788:6
