0:Initialize(7):0:0:0:0:0
1:Initialize(4):0:0:0:0:0
2:Broadcast(4,e5bcc7083fd4635f357d072c5417f296):1:0:2949:0:0
3:Initialize(5):1:0:2949:0:0
4:Update(4):1:0:2949:0:0
5:Deliver(e5bcc7083fd4635f357d072c5417f296,0):1:1:2949:2949:0
6:Deliver(e5bcc7083fd4635f357d072c5417f296,7):1:2:2949:5898:0
7:Broadcast(5,fea238bac6f10a799505dd11d9b7c521):2:2:5898:5898:0
8:Initialize(0):2:2:5898:5898:0
9:Deliver(e5bcc7083fd4635f357d072c5417f296,5):2:3:5898:8847:0
10:Broadcast(7,1db2c79667321b9c81541fc5816dc814):3:3:8847:8847:0
11:Initialize(3):3:3:8847:8847:0
12:Deliver(fea238bac6f10a799505dd11d9b7c521,0):3:4:8847:11796:0
13:Deliver(1db2c79667321b9c81541fc5816dc814,6):3:5:8847:14745:0
14:Initialize(2):3:5:8847:14745:0
15:Deliver(fea238bac6f10a799505dd11d9b7c521,4):3:6:8847:17694:0
16:Deliver(e5bcc7083fd4635f357d072c5417f296,3):3:7:8847:20643:0
17:Process(e5bcc7083fd4635f357d072c5417f296,0):3:7:8847:20643:1
18:Update(2):3:7:8847:20643:1
19:Deliver(1db2c79667321b9c81541fc5816dc814,4):3:8:8847:23592:1
20:Deliver(fea238bac6f10a799505dd11d9b7c521,3):3:9:8847:26541:1
21:Process(1db2c79667321b9c81541fc5816dc814,6):3:9:8847:26541:2
22:Broadcast(2,4df2559aa247e522df3b29462b15203d):4:9:11796:26541:2
23:Deliver(4df2559aa247e522df3b29462b15203d,5):4:10:11796:29490:2
24:Broadcast(0,64f3c3c77858e46f87f4335dfd314f1e):5:10:14745:29490:2
25:Broadcast(2,180dd88bc8d0534780fd5dbbd15d8ad9):6:10:15807:29490:2
26:Process(1db2c79667321b9c81541fc5816dc814,6):6:10:15807:29490:3
27:Deliver(180dd88bc8d0534780fd5dbbd15d8ad9,0):6:11:15807:30552:3
28:Process(fea238bac6f10a799505dd11d9b7c521,0):6:11:15807:30552:4
29:Deliver(4df2559aa247e522df3b29462b15203d,1):6:12:15807:33501:4
30:Process(e5bcc7083fd4635f357d072c5417f296,5):6:12:15807:33501:5
31:Initialize(6):6:12:15807:33501:5
32:Deliver(fea238bac6f10a799505dd11d9b7c521,2):6:13:15807:36450:5
33:Broadcast(3,0125dd9142615056bfac5f8024d2a73d):7:13:18756:36450:5
34:Deliver(1db2c79667321b9c81541fc5816dc814,0):7:14:18756:39399:5
35:Process(4df2559aa247e522df3b29462b15203d,5):7:14:18756:39399:6
36:Deliver(0125dd9142615056bfac5f8024d2a73d,4):7:15:18756:42348:6
37:Deliver(180dd88bc8d0534780fd5dbbd15d8ad9,5):7:16:18756:43410:6
38:Process(4df2559aa247e522df3b29462b15203d,1):7:16:18756:43410:7
39:Process(180dd88bc8d0534780fd5dbbd15d8ad9,5):7:16:18756:43410:8
40:Process(e5bcc7083fd4635f357d072c5417f296,7):7:16:18756:43410:9
41:Deliver(1db2c79667321b9c81541fc5816dc814,5):7:17:18756:46359:9
42:Deliver(64f3c3c77858e46f87f4335dfd314f1e,1):7:18:18756:49308:9
43:Deliver(e5bcc7083fd4635f357d072c5417f296,1):7:19:18756:52257:9
44:Broadcast(5,45e46a08e3197d8c61338a15a84b7488):8:19:19897:52257:9
45:Deliver(e5bcc7083fd4635f357d072c5417f296,2):8:20:19897:55206:9
46:Broadcast(6,2d1c5078d739ab12f586eea08036c6cb):9:20:22846:55206:9
47:Deliver(2d1c5078d739ab12f586eea08036c6cb,3):9:21:22846:58155:9
48:Deliver(45e46a08e3197d8c61338a15a84b7488,2):9:22:22846:59296:9
49:Process(1db2c79667321b9c81541fc5816dc814,0):9:22:22846:59296:10
50:Deliver(0125dd9142615056bfac5f8024d2a73d,5):9:23:22846:62245:10
51:Deliver(fea238bac6f10a799505dd11d9b7c521,6):9:24:22846:65194:10
52:Deliver(64f3c3c77858e46f87f4335dfd314f1e,4):9:25:22846:68143:10
53:Process(180dd88bc8d0534780fd5dbbd15d8ad9,0):9:25:22846:68143:11
54:Deliver(4df2559aa247e522df3b29462b15203d,6):9:26:22846:71092:11
55:Process(1db2c79667321b9c81541fc5816dc814,5):9:26:22846:71092:12
56:Deliver(45e46a08e3197d8c61338a15a84b7488,6):9:27:22846:72233:12
57:Deliver(e5bcc7083fd4635f357d072c5417f296,6):9:28:22846:75182:12
58:Deliver(0125dd9142615056bfac5f8024d2a73d,1):9:29:22846:78131:12
59:Update(5):9:29:22846:78131:12
60:Update(6):9:29:22846:78131:12
61:Process(1db2c79667321b9c81541fc5816dc814,6):9:29:22846:78131:13
62:Process(4df2559aa247e522df3b29462b15203d,1):9:29:22846:78131:14
