0:Initialize(3):0:0:0:0:0
1:Initialize(1):0:0:0:0:0
2:Broadcast(3,f2d4bb7c1b67173b3227edf153b88015):1:0:1549:0:0
3:Update(1):1:0:1549:0:0
4:Deliver(f2d4bb7c1b67173b3227edf153b88015,2):1:1:1549:1549:0
5:Initialize(2):1:1:1549:1549:0
6:Update(3):1:1:1549:1549:0
7:Broadcast(2,d7ccb44cf221cb26240df23c5f52f5cc):2:1:3098:1549:0
8:Deliver(d7ccb44cf221cb26240df23c5f52f5cc,3):2:2:3098:3098:0
9:Deliver(f2d4bb7c1b67173b3227edf153b88015,0):2:3:3098:4647:0
10:Broadcast(1,8dc17a6bce1f4f2c559dee8e843bf552):3:3:3797:4647:0
11:Deliver(8dc17a6bce1f4f2c559dee8e843bf552,0):3:4:3797:5346:0
12:Update(2):3:4:3797:5346:0
13:Broadcast(3,0d42fe0eaec8a7ae8326c734e3eee98b):4:4:4496:5346:0
14:Process(f2d4bb7c1b67173b3227edf153b88015,0):4:4:4496:5346:1
15:Process(f2d4bb7c1b67173b3227edf153b88015,2):4:4:4496:5346:2
16:Deliver(0d42fe0eaec8a7ae8326c734e3eee98b,2):4:5:4496:6045:2
17:Deliver(0d42fe0eaec8a7ae8326c734e3eee98b,0):4:6:4496:6744:2
18:Deliver(d7ccb44cf221cb26240df23c5f52f5cc,1):4:7:4496:8293:2
19:Process(d7ccb44cf221cb26240df23c5f52f5cc,1):4:7:4496:8293:3
20:Deliver(0d42fe0eaec8a7ae8326c734e3eee98b,1):4:8:4496:8992:3
21:Process(d7ccb44cf221cb26240df23c5f52f5cc,3):4:8:4496:8992:4
22:Deliver(f2d4bb7c1b67173b3227edf153b88015,1):4:9:4496:10541:4
23:Process(f2d4bb7c1b67173b3227edf153b88015,0):4:9:4496:10541:5
24:Process(f2d4bb7c1b67173b3227edf153b88015,1):4:9:4496:10541:6
25:Process(f2d4bb7c1b67173b3227edf153b88015,0):4:9:4496:10541:7
26:Process(0d42fe0eaec8a7ae8326c734e3eee98b,1):4:9:4496:10541:8
27:Deliver(8dc17a6bce1f4f2c559dee8e843bf552,3):4:10:4496:11240:8
28:Initialize(0):4:10:4496:11240:8
29:Process(f2d4bb7c1b67173b3227edf153b88015,0):4:10:4496:11240:9
30:Deliver(8dc17a6bce1f4f2c559dee8e843bf552,2):4:11:4496:11939:9
31:Process(0d42fe0eaec8a7ae8326c734e3eee98b,2):4:11:4496:11939:10
32:Update(0):4:11:4496:11939:10
33:Process(8dc17a6bce1f4f2c559dee8e843bf552,2):4:11:4496:11939:11
34:Broadcast(0,fe6dada5ac176b46e577d30e22d855e8):5:11:5195:11939:11
35:Broadcast(2,027928dea378f6deaa7d2b9efceea274):6:11:5894:11939:11
36:Process(8dc17a6bce1f4f2c559dee8e843bf552,0):6:11:5894:11939:12
37:Deliver(027928dea378f6deaa7d2b9efceea274,0):6:12:5894:12638:12
38:Broadcast(1,4014e115168612b399bc4a21e4c5d3e3):7:12:7443:12638:12
39:Deliver(fe6dada5ac176b46e577d30e22d855e8,2):7:13:7443:13337:12
40:Deliver(027928dea378f6deaa7d2b9efceea274,3):7:14:7443:14036:12
41:Process(8dc17a6bce1f4f2c559dee8e843bf552,2):7:14:7443:14036:13
42:Broadcast(0,190c7623864882ac38d3bde8e89ea009):8:14:8992:14036:13
43:Process(fe6dada5ac176b46e577d30e22d855e8,2):8:14:8992:14036:14
44:Deliver(4014e115168612b399bc4a21e4c5d3e3,3):8:15:8992:15585:14
45:Process(4014e115168612b399bc4a21e4c5d3e3,3):8:15:8992:15585:15
46:Deliver(4014e115168612b399bc4a21e4c5d3e3,2):8:16:8992:17134:15
47:Deliver(fe6dada5ac176b46e577d30e22d855e8,1):8:17:8992:17833:15
48:Process(4014e115168612b399bc4a21e4c5d3e3,2):8:17:8992:17833:16
49:Deliver(027928dea378f6deaa7d2b9efceea274,1):8:18:8992:18532:16
50:Process(8dc17a6bce1f4f2c559dee8e843bf552,3):8:18:8992:18532:17
51:Deliver(fe6dada5ac176b46e577d30e22d855e8,3):8:19:8992:19231:17
52:Broadcast(3,e022f1a1ce0c4ed30770d6b447a9c30a):9:19:9770:19231:17
53:Deliver(190c7623864882ac38d3bde8e89ea009,2):9:20:9770:20780:17
